month,medicine,demand
2023-12,Ibuprofen 400mg Tablets,163
2024-01,Ibuprofen 400mg Tablets,207
2024-02,Ibuprofen 400mg Tablets,218
2024-03,Ibuprofen 400mg Tablets,164
2024-04,Ibuprofen 400mg Tablets,144
2024-05,Ibuprofen 400mg Tablets,141
2024-06,Ibuprofen 400mg Tablets,189
2024-07,Ibuprofen 400mg Tablets,199
2024-08,Ibuprofen 400mg Tablets,194
2024-09,Ibuprofen 400mg Tablets,144
2024-10,Ibuprofen 400mg Tablets,155
2024-11,Ibuprofen 400mg Tablets,150
2024-12,Ibuprofen 400mg Tablets,206
2025-01,Ibuprofen 400mg Tablets,193
2025-02,Ibuprofen 400mg Tablets,214
2025-03,Ibuprofen 400mg Tablets,146
2025-04,Ibuprofen 400mg Tablets,135
2025-05,Ibuprofen 400mg Tablets,152
2025-06,Ibuprofen 400mg Tablets,172
2025-07,Ibuprofen 400mg Tablets,175
2025-08,Ibuprofen 400mg Tablets,182
2025-09,Ibuprofen 400mg Tablets,135
2025-10,Ibuprofen 400mg Tablets,145
2023-01,Cough Syrup 100ml,246
2023-02,Cough Syrup 100ml,227
2023-03,Cough Syrup 100ml,167
2023-04,Cough Syrup 100ml,173
2023-05,Cough Syrup 100ml,187
2023-06,Cough Syrup 100ml,208
2023-07,Cough Syrup 100ml,194
2023-08,Cough Syrup 100ml,209
2023-09,Cough Syrup 100ml,149
2023-10,Cough Syrup 100ml,168
2023-11,Cough Syrup 100ml,169
2023-12,Cough Syrup 100ml,235
2024-01,Cough Syrup 100ml,220
2024-02,Cough Syrup 100ml,255
2024-03,Cough Syrup 100ml,168
2024-04,Cough Syrup 100ml,157
2024-05,Cough Syrup 100ml,180
2024-06,Cough Syrup 100ml,215
2024-07,Cough Syrup 100ml,212
2024-08,Cough Syrup 100ml,199
2024-09,Cough Syrup 100ml,183
2024-10,Cough Syrup 100ml,154
2024-11,Cough Syrup 100ml,174
2024-12,Cough Syrup 100ml,267
2025-01,Cough Syrup 100ml,232
2025-02,Cough Syrup 100ml,208
2025-03,Cough Syrup 100ml,169
2025-04,Cough Syrup 100ml,163
2025-05,Cough Syrup 100ml,153
2025-06,Cough Syrup 100ml,187
2025-07,Cough Syrup 100ml,185
2025-08,Cough Syrup 100ml,199
2025-09,Cough Syrup 100ml,159
2025-10,Cough Syrup 100ml,184
2023-01,Vitamin C 500mg Tablets,149
2023-02,Vitamin C 500mg Tablets,143
2023-03,Vitamin C 500mg Tablets,115
2023-04,Vitamin C 500mg Tablets,94
2023-05,Vitamin C 500mg Tablets,109
2023-06,Vitamin C 500mg Tablets,146
2023-07,Vitamin C 500mg Tablets,106
2023-08,Vitamin C 500mg Tablets,130
2023-09,Vitamin C 500mg Tablets,109
2023-10,Vitamin C 500mg Tablets,114
2023-11,Vitamin C 500mg Tablets,94
2023-12,Vitamin C 500mg Tablets,143
2024-01,Vitamin C 500mg Tablets,154
2024-02,Vitamin C 500mg Tablets,135
2024-03,Vitamin C 500mg Tablets,109
2024-04,Vitamin C 500mg Tablets,110
2024-05,Vitamin C 500mg Tablets,100
2024-06,Vitamin C 500mg Tablets,123
2024-07,Vitamin C 500mg Tablets,136
2024-08,Vitamin C 500mg Tablets,122
2024-09,Vitamin C 500mg Tablets,125
2024-10,Vitamin C 500mg Tablets,111
2024-11,Vitamin C 500mg Tablets,95
2024-12,Vitamin C 500mg Tablets,158
2025-01,Vitamin C 500mg Tablets,132
2025-02,Vitamin C 500mg Tablets,155
2025-03,Vitamin C 500mg Tablets,118
2025-04,Vitamin C 500mg Tablets,98
2025-05,Vitamin C 500mg Tablets,116
2025-06,Vitamin C 500mg Tablets,129
2025-07,Vitamin C 500mg Tablets,147
2025-08,Vitamin C 500mg Tablets,139
2025-09,Vitamin C 500mg Tablets,104
2025-10,Vitamin C 500mg Tablets,99
2023-01,Cetirizine 10mg Tablets,166
2023-02,Cetirizine 10mg Tablets,165
2023-03,Cetirizine 10mg Tablets,142
2023-04,Cetirizine 10mg Tablets,146
2023-05,Cetirizine 10mg Tablets,145
2023-06,Cetirizine 10mg Tablets,168
2023-07,Cetirizine 10mg Tablets,175
2023-08,Cetirizine 10mg Tablets,194
2023-09,Cetirizine 10mg Tablets,140
2023-10,Cetirizine 10mg Tablets,170
2023-11,Cetirizine 10mg Tablets,149
2023-12,Cetirizine 10mg Tablets,181
2024-01,Cetirizine 10mg Tablets,163
2024-02,Cetirizine 10mg Tablets,192
2024-03,Cetirizine 10mg Tablets,140
2024-04,Cetirizine 10mg Tablets,150
2024-05,Cetirizine 10mg Tablets,147
2024-06,Cetirizine 10mg Tablets,185
2024-07,Cetirizine 10mg Tablets,163
2024-08,Cetirizine 10mg Tablets,169
2024-09,Cetirizine 10mg Tablets,138
2024-10,Cetirizine 10mg Tablets,151
2024-11,Cetirizine 10mg Tablets,145
2024-12,Cetirizine 10mg Tablets,196
2025-01,Cetirizine 10mg Tablets,173
2025-02,Cetirizine 10mg Tablets,206
2025-03,Cetirizine 10mg Tablets,134
2025-04,Cetirizine 10mg Tablets,144
2025-05,Cetirizine 10mg Tablets,143
2025-06,Cetirizine 10mg Tablets,165
2025-07,Cetirizine 10mg Tablets,176
2025-08,Cetirizine 10mg Tablets,170
2025-09,Cetirizine 10mg Tablets,153
2025-10,Cetirizine 10mg Tablets,153
2023-01,Azithromycin 500mg Tablets,197
2023-02,Azithromycin 500mg Tablets,199
2023-03,Azithromycin 500mg Tablets,167
2023-04,Azithromycin 500mg Tablets,167
2023-05,Azithromycin 500mg Tablets,167
2023-06,Azithromycin 500mg Tablets,221
2023-07,Azithromycin 500mg Tablets,184
2023-08,Azithromycin 500mg Tablets,212
2023-09,Azithromycin 500mg Tablets,171
2023-10,Azithromycin 500mg Tablets,168
2023-11,Azithromycin 500mg Tablets,158
2023-12,Azithromycin 500mg Tablets,236
2024-01,Azithromycin 500mg Tablets,233
2024-02,Azithromycin 500mg Tablets,229
2024-03,Azithromycin 500mg Tablets,157
2024-04,Azithromycin 500mg Tablets,162
2024-05,Azithromycin 500mg Tablets,185
2024-06,Azithromycin 500mg Tablets,175
2024-07,Azithromycin 500mg Tablets,188
2024-08,Azithromycin 500mg Tablets,182
2024-09,Azithromycin 500mg Tablets,157
2024-10,Azithromycin 500mg Tablets,172
2024-11,Azithromycin 500mg Tablets,162
2024-12,Azithromycin 500mg Tablets,224
2025-01,Azithromycin 500mg Tablets,211
2025-02,Azithromycin 500mg Tablets,210
2025-03,Azithromycin 500mg Tablets,154
2025-04,Azithromycin 500mg Tablets,164
2025-05,Azithromycin 500mg Tablets,162
2025-06,Azithromycin 500mg Tablets,183
2025-07,Azithromycin 500mg Tablets,204
2025-08,Azithromycin 500mg Tablets,215
2025-09,Azithromycin 500mg Tablets,141
2025-10,Azithromycin 500mg Tablets,163
2023-01,Omeprazole 20mg Capsules,262
2023-02,Omeprazole 20mg Capsules,246
2023-03,Omeprazole 20mg Capsules,190
2023-04,Omeprazole 20mg Capsules,196
2023-05,Omeprazole 20mg Capsules,203
2023-06,Omeprazole 20mg Capsules,239
2023-07,Omeprazole 20mg Capsules,206
2023-08,Omeprazole 20mg Capsules,251
2023-09,Omeprazole 20mg Capsules,193
2023-10,Omeprazole 20mg Capsules,191
2023-11,Omeprazole 20mg Capsules,215
2023-12,Omeprazole 20mg Capsules,293
2024-01,Omeprazole 20mg Capsules,274
2024-02,Omeprazole 20mg Capsules,265
2024-03,Omeprazole 20mg Capsules,219
2024-04,Omeprazole 20mg Capsules,208
2024-05,Omeprazole 20mg Capsules,182
2024-06,Omeprazole 20mg Capsules,215
2024-07,Omeprazole 20mg Capsules,265
2024-08,Omeprazole 20mg Capsules,248
2024-09,Omeprazole 20mg Capsules,202
2024-10,Omeprazole 20mg Capsules,205
2024-11,Omeprazole 20mg Capsules,188
2024-12,Omeprazole 20mg Capsules,242
2025-01,Omeprazole 20mg Capsules,234
2025-02,Omeprazole 20mg Capsules,231
2025-03,Omeprazole 20mg Capsules,195
2025-04,Omeprazole 20mg Capsules,185
2025-05,Omeprazole 20mg Capsules,214
2025-06,Omeprazole 20mg Capsules,233
2025-07,Omeprazole 20mg Capsules,243
2025-08,Omeprazole 20mg Capsules,224
2025-09,Omeprazole 20mg Capsules,212
2025-10,Omeprazole 20mg Capsules,183
2023-01,Insulin Injection 10ml,219
2023-02,Insulin Injection 10ml,175
2023-03,Insulin Injection 10ml,130
2023-04,Insulin Injection 10ml,144
2023-05,Insulin Injection 10ml,141
2023-06,Insulin Injection 10ml,162
2023-07,Insulin Injection 10ml,171
2023-08,Insulin Injection 10ml,177
2023-09,Insulin Injection 10ml,141
2023-10,Insulin Injection 10ml,146
2023-11,Insulin Injection 10ml,155
2023-12,Insulin Injection 10ml,194
2024-01,Insulin Injection 10ml,221
2024-02,Insulin Injection 10ml,177
2024-03,Insulin Injection 10ml,138
2024-04,Insulin Injection 10ml,145
2024-05,Insulin Injection 10ml,142
2024-06,Insulin Injection 10ml,167
2024-07,Insulin Injection 10ml,163
2024-08,Insulin Injection 10ml,167
2024-09,Insulin Injection 10ml,134
2024-10,Insulin Injection 10ml,148
2024-11,Insulin Injection 10ml,143
2024-12,Insulin Injection 10ml,176
2025-01,Insulin Injection 10ml,214
2025-02,Insulin Injection 10ml,190
2025-03,Insulin Injection 10ml,148
2025-04,Insulin Injection 10ml,146
2025-05,Insulin Injection 10ml,131
2025-06,Insulin Injection 10ml,155
2025-07,Insulin Injection 10ml,163
2025-08,Insulin Injection 10ml,160
2025-09,Insulin Injection 10ml,139
2025-10,Insulin Injection 10ml,141
2023-01,Metformin 500mg Tablets,203
2023-02,Metformin 500mg Tablets,183
2023-03,Metformin 500mg Tablets,155
2023-04,Metformin 500mg Tablets,147
2023-05,Metformin 500mg Tablets,147
2023-06,Metformin 500mg Tablets,178
2023-07,Metformin 500mg Tablets,192
2023-08,Metformin 500mg Tablets,180
2023-09,Metformin 500mg Tablets,163
2023-10,Metformin 500mg Tablets,150
2023-11,Metformin 500mg Tablets,156
2023-12,Metformin 500mg Tablets,217
2024-01,Metformin 500mg Tablets,221
2024-02,Metformin 500mg Tablets,181
2024-03,Metformin 500mg Tablets,150
2024-04,Metformin 500mg Tablets,155
2024-05,Metformin 500mg Tablets,141
2024-06,Metformin 500mg Tablets,193
2024-07,Metformin 500mg Tablets,175
2024-08,Metformin 500mg Tablets,159
2024-09,Metformin 500mg Tablets,161
2024-10,Metformin 500mg Tablets,157
2024-11,Metformin 500mg Tablets,156
2024-12,Metformin 500mg Tablets,192
2025-01,Metformin 500mg Tablets,221
2025-02,Metformin 500mg Tablets,196
2025-03,Metformin 500mg Tablets,150
2025-04,Metformin 500mg Tablets,143
2025-05,Metformin 500mg Tablets,159
2025-06,Metformin 500mg Tablets,177
2025-07,Metformin 500mg Tablets,180
2025-08,Metformin 500mg Tablets,186
2025-09,Metformin 500mg Tablets,154
2025-10,Metformin 500mg Tablets,144
2023-01,Amlodipine 5mg Tablets,119
2023-02,Amlodipine 5mg Tablets,147
2023-03,Amlodipine 5mg Tablets,106
2023-04,Amlodipine 5mg Tablets,98
2023-05,Amlodipine 5mg Tablets,99
2023-06,Amlodipine 5mg Tablets,124
2023-07,Amlodipine 5mg Tablets,108
2023-08,Amlodipine 5mg Tablets,118
2023-09,Amlodipine 5mg Tablets,96
2023-10,Amlodipine 5mg Tablets,101
2023-11,Amlodipine 5mg Tablets,107
2023-12,Amlodipine 5mg Tablets,141
2024-01,Amlodipine 5mg Tablets,153
2024-02,Amlodipine 5mg Tablets,143
2024-03,Amlodipine 5mg Tablets,103
2024-04,Amlodipine 5mg Tablets,93
2024-05,Amlodipine 5mg Tablets,103
2024-06,Amlodipine 5mg Tablets,112
2024-07,Amlodipine 5mg Tablets,132
2024-08,Amlodipine 5mg Tablets,122
2024-09,Amlodipine 5mg Tablets,109
2024-10,Amlodipine 5mg Tablets,119
2024-11,Amlodipine 5mg Tablets,102
2024-12,Amlodipine 5mg Tablets,132
2025-01,Amlodipine 5mg Tablets,137
2025-02,Amlodipine 5mg Tablets,137
2025-03,Amlodipine 5mg Tablets,106
2025-04,Amlodipine 5mg Tablets,104
2025-05,Amlodipine 5mg Tablets,104
2025-06,Amlodipine 5mg Tablets,109
2025-07,Amlodipine 5mg Tablets,118
2025-08,Amlodipine 5mg Tablets,129
2025-09,Amlodipine 5mg Tablets,118
2025-10,Amlodipine 5mg Tablets,113
2023-01,Losartan 50mg Tablets,303
2023-02,Losartan 50mg Tablets,246
2023-03,Losartan 50mg Tablets,199
2023-04,Losartan 50mg Tablets,192
2023-05,Losartan 50mg Tablets,212
2023-06,Losartan 50mg Tablets,234
2023-07,Losartan 50mg Tablets,222
2023-08,Losartan 50mg Tablets,206
2023-09,Losartan 50mg Tablets,169
2023-10,Losartan 50mg Tablets,185
2023-11,Losartan 50mg Tablets,183
2023-12,Losartan 50mg Tablets,287
2024-01,Losartan 50mg Tablets,280
2024-02,Losartan 50mg Tablets,303
2024-03,Losartan 50mg Tablets,200
2024-04,Losartan 50mg Tablets,185
2024-05,Losartan 50mg Tablets,182
2024-06,Losartan 50mg Tablets,250
2024-07,Losartan 50mg Tablets,229
2024-08,Losartan 50mg Tablets,234
2024-09,Losartan 50mg Tablets,202
2024-10,Losartan 50mg Tablets,186
2024-11,Losartan 50mg Tablets,173
2024-12,Losartan 50mg Tablets,270
2025-01,Losartan 50mg Tablets,240
2025-02,Losartan 50mg Tablets,264
2025-03,Losartan 50mg Tablets,175
2025-04,Losartan 50mg Tablets,185
2025-05,Losartan 50mg Tablets,191
2025-06,Losartan 50mg Tablets,212
2025-07,Losartan 50mg Tablets,220
2025-08,Losartan 50mg Tablets,253
2025-09,Losartan 50mg Tablets,180
2025-10,Losartan 50mg Tablets,189
2023-01,Atorvastatin 10mg Tablets,168
2023-02,Atorvastatin 10mg Tablets,167
2023-03,Atorvastatin 10mg Tablets,120
2023-04,Atorvastatin 10mg Tablets,101
2023-05,Atorvastatin 10mg Tablets,97
2023-06,Atorvastatin 10mg Tablets,143
2023-07,Atorvastatin 10mg Tablets,143
2023-08,Atorvastatin 10mg Tablets,133
2023-09,Atorvastatin 10mg Tablets,128
2023-10,Atorvastatin 10mg Tablets,114
2023-11,Atorvastatin 10mg Tablets,124
2023-12,Atorvastatin 10mg Tablets,162
2024-01,Atorvastatin 10mg Tablets,178
2024-02,Atorvastatin 10mg Tablets,169
2024-03,Atorvastatin 10mg Tablets,110
2024-04,Atorvastatin 10mg Tablets,122
2024-05,Atorvastatin 10mg Tablets,119
2024-06,Atorvastatin 10mg Tablets,142
2024-07,Atorvastatin 10mg Tablets,119
2024-08,Atorvastatin 10mg Tablets,132
2024-09,Atorvastatin 10mg Tablets,123
2024-10,Atorvastatin 10mg Tablets,95
2024-11,Atorvastatin 10mg Tablets,101
2024-12,Atorvastatin 10mg Tablets,140
2025-01,Atorvastatin 10mg Tablets,134
2025-02,Atorvastatin 10mg Tablets,153
2025-03,Atorvastatin 10mg Tablets,128
2025-04,Atorvastatin 10mg Tablets,113
2025-05,Atorvastatin 10mg Tablets,129
2025-06,Atorvastatin 10mg Tablets,111
2025-07,Atorvastatin 10mg Tablets,118
2025-08,Atorvastatin 10mg Tablets,144
2025-09,Atorvastatin 10mg Tablets,116
2025-10,Atorvastatin 10mg Tablets,112
2023-01,Pantoprazole 40mg Tablets,162
2023-02,Pantoprazole 40mg Tablets,217
2023-03,Pantoprazole 40mg Tablets,133
2023-04,Pantoprazole 40mg Tablets,153
2023-05,Pantoprazole 40mg Tablets,150
2023-06,Pantoprazole 40mg Tablets,154
2023-07,Pantoprazole 40mg Tablets,162
2023-08,Pantoprazole 40mg Tablets,168
2023-09,Pantoprazole 40mg Tablets,146
2023-10,Pantoprazole 40mg Tablets,156
2023-11,Pantoprazole 40mg Tablets,137
2023-12,Pantoprazole 40mg Tablets,211
2024-01,Pantoprazole 40mg Tablets,181
2024-02,Pantoprazole 40mg Tablets,173
2024-03,Pantoprazole 40mg Tablets,145
2024-04,Pantoprazole 40mg Tablets,136
2024-05,Pantoprazole 40mg Tablets,141
2024-06,Pantoprazole 40mg Tablets,175
2024-07,Pantoprazole 40mg Tablets,188
2024-08,Pantoprazole 40mg Tablets,179
2024-09,Pantoprazole 40mg Tablets,140
2024-10,Pantoprazole 40mg Tablets,149
2024-11,Pantoprazole 40mg Tablets,145
2024-12,Pantoprazole 40mg Tablets,201
2025-01,Pantoprazole 40mg Tablets,201
2025-02,Pantoprazole 40mg Tablets,209
2025-03,Pantoprazole 40mg Tablets,141
2025-04,Pantoprazole 40mg Tablets,141
2025-05,Pantoprazole 40mg Tablets,144
2025-06,Pantoprazole 40mg Tablets,154
2025-07,Pantoprazole 40mg Tablets,174
2025-08,Pantoprazole 40mg Tablets,181
2025-09,Pantoprazole 40mg Tablets,163
2025-10,Pantoprazole 40mg Tablets,144
2023-01,Cefixime 200mg Tablets,227
2023-02,Cefixime 200mg Tablets,221
2023-03,Cefixime 200mg Tablets,201
2023-04,Cefixime 200mg Tablets,182
2023-05,Cefixime 200mg Tablets,169
2023-06,Cefixime 200mg Tablets,183
2023-07,Cefixime 200mg Tablets,194
2023-08,Cefixime 200mg Tablets,205
2023-09,Cefixime 200mg Tablets,163
2023-10,Cefixime 200mg Tablets,156
2023-11,Cefixime 200mg Tablets,164
2023-12,Cefixime 200mg Tablets,242
2024-01,Cefixime 200mg Tablets,270
2024-02,Cefixime 200mg Tablets,214
2024-03,Cefixime 200mg Tablets,170
2024-04,Cefixime 200mg Tablets,185
2024-05,Cefixime 200mg Tablets,171
2024-06,Cefixime 200mg Tablets,200
2024-07,Cefixime 200mg Tablets,222
2024-08,Cefixime 200mg Tablets,196
2024-09,Cefixime 200mg Tablets,160
2024-10,Cefixime 200mg Tablets,169
2024-11,Cefixime 200mg Tablets,162
2024-12,Cefixime 200mg Tablets,218
2025-01,Cefixime 200mg Tablets,240
2025-02,Cefixime 200mg Tablets,231
2025-03,Cefixime 200mg Tablets,157
2025-04,Cefixime 200mg Tablets,176
2025-05,Cefixime 200mg Tablets,164
2025-06,Cefixime 200mg Tablets,195
2025-07,Cefixime 200mg Tablets,184
2025-08,Cefixime 200mg Tablets,187
2025-09,Cefixime 200mg Tablets,171
2025-10,Cefixime 200mg Tablets,162
2023-01,Prednisolone 10mg Tablets,147
2023-02,Prednisolone 10mg Tablets,167
2023-03,Prednisolone 10mg Tablets,113
2023-04,Prednisolone 10mg Tablets,106
2023-05,Prednisolone 10mg Tablets,110
2023-06,Prednisolone 10mg Tablets,151
2023-07,Prednisolone 10mg Tablets,146
2023-08,Prednisolone 10mg Tablets,140
2023-09,Prednisolone 10mg Tablets,116
2023-10,Prednisolone 10mg Tablets,123
2023-11,Prednisolone 10mg Tablets,99
2023-12,Prednisolone 10mg Tablets,167
2024-01,Prednisolone 10mg Tablets,132
2024-02,Prednisolone 10mg Tablets,173
2024-03,Prednisolone 10mg Tablets,108
2024-04,Prednisolone 10mg Tablets,97
2024-05,Prednisolone 10mg Tablets,99
2024-06,Prednisolone 10mg Tablets,135
2024-07,Prednisolone 10mg Tablets,145
2024-08,Prednisolone 10mg Tablets,140
2024-09,Prednisolone 10mg Tablets,122
2024-10,Prednisolone 10mg Tablets,99
2024-11,Prednisolone 10mg Tablets,115
2024-12,Prednisolone 10mg Tablets,131
2025-01,Prednisolone 10mg Tablets,136
2025-02,Prednisolone 10mg Tablets,143
2025-03,Prednisolone 10mg Tablets,107
2025-04,Prednisolone 10mg Tablets,112
2025-05,Prednisolone 10mg Tablets,126
2025-06,Prednisolone 10mg Tablets,134
2025-07,Prednisolone 10mg Tablets,142
2025-08,Prednisolone 10mg Tablets,130
2025-09,Prednisolone 10mg Tablets,121
2025-10,Prednisolone 10mg Tablets,130
2023-01,Montelukast 10mg Tablets,198
2023-02,Montelukast 10mg Tablets,232
2023-03,Montelukast 10mg Tablets,176
2023-04,Montelukast 10mg Tablets,168
2023-05,Montelukast 10mg Tablets,174
2023-06,Montelukast 10mg Tablets,211
2023-07,Montelukast 10mg Tablets,206
2023-08,Montelukast 10mg Tablets,195
2023-09,Montelukast 10mg Tablets,182
2023-10,Montelukast 10mg Tablets,173
2023-11,Montelukast 10mg Tablets,174
2023-12,Montelukast 10mg Tablets,247
2024-01,Montelukast 10mg Tablets,202
2024-02,Montelukast 10mg Tablets,233
2024-03,Montelukast 10mg Tablets,174
2024-04,Montelukast 10mg Tablets,166
2024-05,Montelukast 10mg Tablets,173
2024-06,Montelukast 10mg Tablets,237
2024-07,Montelukast 10mg Tablets,198
2024-08,Montelukast 10mg Tablets,196
2024-09,Montelukast 10mg Tablets,183
2024-10,Montelukast 10mg Tablets,166
2024-11,Montelukast 10mg Tablets,150
2024-12,Montelukast 10mg Tablets,201
2025-01,Montelukast 10mg Tablets,236
2025-02,Montelukast 10mg Tablets,209
2025-03,Montelukast 10mg Tablets,171
2025-04,Montelukast 10mg Tablets,187
2025-05,Montelukast 10mg Tablets,174
2025-06,Montelukast 10mg Tablets,201
2025-07,Montelukast 10mg Tablets,220
2025-08,Montelukast 10mg Tablets,185
2025-09,Montelukast 10mg Tablets,173
2025-10,Montelukast 10mg Tablets,178
2023-01,Diclofenac 50mg Tablets,100
2023-02,Diclofenac 50mg Tablets,149
2023-03,Diclofenac 50mg Tablets,97
2023-04,Diclofenac 50mg Tablets,89
2023-05,Diclofenac 50mg Tablets,100
2023-06,Diclofenac 50mg Tablets,143
2023-07,Diclofenac 50mg Tablets,115
2023-08,Diclofenac 50mg Tablets,121
2023-09,Diclofenac 50mg Tablets,89
2023-10,Diclofenac 50mg Tablets,85
2023-11,Diclofenac 50mg Tablets,102
2023-12,Diclofenac 50mg Tablets,120
2024-01,Diclofenac 50mg Tablets,117
2024-02,Diclofenac 50mg Tablets,111
2024-03,Diclofenac 50mg Tablets,98
2024-04,Diclofenac 50mg Tablets,97
2024-05,Diclofenac 50mg Tablets,104
2024-06,Diclofenac 50mg Tablets,104
2024-07,Diclofenac 50mg Tablets,117
2024-08,Diclofenac 50mg Tablets,108
2024-09,Diclofenac 50mg Tablets,89
2024-10,Diclofenac 50mg Tablets,97
2024-11,Diclofenac 50mg Tablets,101
2024-12,Diclofenac 50mg Tablets,127
2025-01,Diclofenac 50mg Tablets,146
2025-02,Diclofenac 50mg Tablets,132
2025-03,Diclofenac 50mg Tablets,98
2025-04,Diclofenac 50mg Tablets,112
2025-05,Diclofenac 50mg Tablets,86
2025-06,Diclofenac 50mg Tablets,95
2025-07,Diclofenac 50mg Tablets,87
2025-08,Diclofenac 50mg Tablets,133
2025-09,Diclofenac 50mg Tablets,100
2025-10,Diclofenac 50mg Tablets,93
2023-01,Clopidogrel 75mg Tablets,285
2023-02,Clopidogrel 75mg Tablets,276
2023-03,Clopidogrel 75mg Tablets,217
2023-04,Clopidogrel 75mg Tablets,194
2023-05,Clopidogrel 75mg Tablets,194
2023-06,Clopidogrel 75mg Tablets,248
2023-07,Clopidogrel 75mg Tablets,252
2023-08,Clopidogrel 75mg Tablets,223
2023-09,Clopidogrel 75mg Tablets,185
2023-10,Clopidogrel 75mg Tablets,197
2023-11,Clopidogrel 75mg Tablets,211
2023-12,Clopidogrel 75mg Tablets,254
2024-01,Clopidogrel 75mg Tablets,293
2024-02,Clopidogrel 75mg Tablets,236
2024-03,Clopidogrel 75mg Tablets,183
2024-04,Clopidogrel 75mg Tablets,191
2024-05,Clopidogrel 75mg Tablets,193
2024-06,Clopidogrel 75mg Tablets,239
2024-07,Clopidogrel 75mg Tablets,202
2024-08,Clopidogrel 75mg Tablets,263
2024-09,Clopidogrel 75mg Tablets,191
2024-10,Clopidogrel 75mg Tablets,188
2024-11,Clopidogrel 75mg Tablets,182
2024-12,Clopidogrel 75mg Tablets,260
2025-01,Clopidogrel 75mg Tablets,263
2025-02,Clopidogrel 75mg Tablets,271
2025-03,Clopidogrel 75mg Tablets,180
2025-04,Clopidogrel 75mg Tablets,180
2025-05,Clopidogrel 75mg Tablets,189
2025-06,Clopidogrel 75mg Tablets,257
2025-07,Clopidogrel 75mg Tablets,219
2025-08,Clopidogrel 75mg Tablets,203
2025-09,Clopidogrel 75mg Tablets,190
2025-10,Clopidogrel 75mg Tablets,190
